"","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"1077","PAN-312797",5880600,8,1,"Determined","Development Application","Sydney / Regional Planning Panel","Tamworth Regional Council","Group homes ","7 CRAWFORD STREET EAST TAMWORTH 2340","150.957757169","-31.11501987","7","CRAWFORD","STREET","EAST TAMWORTH","2340","New South Wales",NA,NA,NA,"N","N","N",NA,"2023-04-06","2023-11-16","2023-05-22T00:00:00","2023-04-21T00:00:00","N",NA,NA
"1078","PAN-332829",6180919,1,1,"Determined","Development Application","Council","Penrith City Council","Dwelling-Pools / decks / fencing-Garages, carports and car parking spaces-Shed","1046 CASTLEREAGH ROAD CASTLEREAGH 2749","150.669157962","-33.661722783","1046","CASTLEREAGH","ROAD","CASTLEREAGH","2749","New South Wales",NA,NA,NA,NA,NA,"N",NA,"2023-05-23","2023-11-15","2023-06-14T00:00:00","2023-05-31T00:00:00","N",NA,NA
"1079","PAN-199164",16589370,18,NA,"Determined","Development Application","Local Planning Panel","Central Coast Council","Residential flat building","49 CAROLINE STREET EAST GOSFORD 2250","151.354859374","-33.442831763","49","CAROLINE","STREET","EAST GOSFORD","2250","New South Wales",NA,NA,NA,NA,"Y",NA,NA,"2022-03-29","2022-12-15","2022-05-11T00:00:00","2022-04-08T00:00:00","N","Y",NA
"1080","PAN-276759",87923198,308,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Blacktown City Council","Residential flat building","60 PELICAN ROAD SCHOFIELDS 2762","150.879428922","-33.704875675","60","PELICAN","ROAD","SCHOFIELDS","2762","New South Wales",NA,NA,NA,NA,NA,NA,NA,"2022-11-07","2023-11-15","2023-01-12T00:00:00","2022-12-07T00:00:00","Y","Y",NA
"1081","PAN-280603",6231272,1,2,"Determined","Development Application","Council staff under delegated authority","Northern Beaches Council","Dwelling-Pools / decks / fencing","84 QUIRK STREET DEE WHY 2099","151.290704919","-33.758388921","84","QUIRK","STREET","DEE WHY","2099","New South Wales",NA,NA,0,"N","N","N",NA,"2022-11-22","2023-11-22","2022-12-12T00:00:00","2022-11-28T00:00:00","N",NA,NA
"1082","PAN-342606",9791110.56,19,NA,"Determined","Development Application","Council","Camden Council","Multi-dwelling housing-Subdivision of land","120 INGLEBURN ROAD LEPPINGTON 2179","150.80457183","-33.960093713","120","INGLEBURN","ROAD","LEPPINGTON","2179","New South Wales",NA,NA,NA,"N","N","Y",4,"2023-06-20","2023-11-24","2023-07-19T00:00:00","2023-07-05T00:00:00","Y",NA,NA
"1083","PAN-114865",11816496,1,8,"Determined","Development Application","Unknown","City of Parramatta Council","Demolition-Residential flat building","10 EVANS ROAD TELOPEA 2117","151.046054503","-33.795416514","10","EVANS","ROAD","TELOPEA","2117","New South Wales",NA,NA,2,"N","N","N",NA,"2021-07-20","2022-02-14","2021-08-25T00:00:00","2021-07-28T00:00:00","N",NA,NA
"1084","PAN-269475",51250576.3,52,6,"Determined","Development Application","Sydney / Regional Planning Panel","Lane Cove Municipal Council","Seniors housing","40A Cope Street, Lane Cove","151.152197075","-33.819482196",NA,NA,NA,NA,NA,NA,NA,NA,2,"N","Y","N",NA,"2022-10-28","2023-08-22","2022-11-16T00:00:00","2022-10-31T00:00:00","N","N",NA
"1085","PAN-171646",22053187,32,5,"Determined","Development Application","Land and Environment Court","Mosman Municipal Council","Shop top housing","7-11 SPIT ROAD MOSMAN 2088","151.242222675","-33.823983663","7","SPIT","ROAD","MOSMAN","2088","New South Wales","11",NA,4,"N","Y","N",NA,"2021-12-15","2022-09-21","2022-01-17T00:00:00","2021-12-21T00:00:00","N","Y",NA
"1086","PAN-225443",7106068,18,NA,"Determined","Development Application","Council","Maitland City Council","Multi-dwelling housing-Subdivision of land","61 BANKS STREET EAST MAITLAND 2323","151.580820135","-32.748277984","61","BANKS","STREET","EAST MAITLAND","2323","New South Wales",NA,NA,1,NA,NA,"Y",19,"2022-06-01","2023-11-14","2022-06-27T00:00:00","2022-06-13T00:00:00","N","N",NA
"1087","PAN-301237",39753382.51,178,NA,"Determined","Development Application","Sydney / Regional Planning Panel","The Hills Shire Council","Residential flat building","6 ALAN STREET BOX HILL 2765","150.897180264","-33.660816264","6","ALAN","STREET","BOX HILL","2765","New South Wales",NA,NA,NA,"N","Y","Y",2,"2023-02-06","2023-11-17","2023-03-03T00:00:00","2023-02-10T00:00:00","N",NA,NA
"1088","PAN-255020",5531660,28,NA,"Determined","Development Application","Council","Central Coast Council","Stratum / community title subdivision-Industrial development","19 RELIANCE DRIVE TUGGERAH 2259","151.421224038","-33.319688365","19","RELIANCE","DRIVE","TUGGERAH","2259","New South Wales",NA,NA,NA,"N","N","Y",28,"2022-09-16","2023-11-14",NA,NA,"N",NA,NA
"1089","PAN-316659",6373560,98,NA,"Determined","Development Application","Council","Mid-Coast Council","Stratum / community title subdivision","7 PETREL PLACE TEA GARDENS 2324","152.162821249","-32.642528648","7","PETREL","PLACE","TEA GARDENS","2324","New South Wales",NA,NA,1,"N","N","Y",84,"2023-04-18","2023-11-27","2023-05-29T00:00:00","2023-04-21T00:00:00","N",NA,NA
"1090","PAN-30440",13363312,27,2,"Additional Information Requested","Development Application","Unknown","Blacktown City Council","Multi-dwelling housing-Subdivision of land","8 QUAKERS ROAD QUAKERS HILL 2763","150.872594251","-33.725687918","8","QUAKERS","ROAD","QUAKERS HILL","2763","New South Wales",NA,NA,1,"N","N","Y",28,"2020-11-10",NA,NA,NA,NA,NA,NA
"1091","PAN-30440",13363312,27,2,"Additional Information Requested","Development Application","Unknown","Blacktown City Council","Multi-dwelling housing-Subdivision of land","8 QUAKERS ROAD QUAKERS HILL 2763","150.872594251","-33.725687918","8","QUAKERS","ROAD","QUAKERS HILL","2763","New South Wales",NA,NA,1,"N","N","Y",28,"2020-11-10",NA,NA,NA,NA,NA,NA
"1092","PAN-337035",5230000,12,4,"Withdrawn","Development Application","Unknown","Sutherland Shire Council","Multi-dwelling housing","92 PRINCES HIGHWAY SYLVANIA 2224","151.107129422","-34.008521347","92","PRINCES","HIGHWAY","SYLVANIA","2224","New South Wales",NA,NA,1,"N","N","N",NA,"2023-06-16",NA,"2023-07-04T00:00:00","2023-06-19T00:00:00","N",NA,NA
"1093","PAN-394161",13200000,12,6,"Withdrawn","Development Application","Unknown","Kempsey Shire Council","Shop top housing-Erection of a new structure","25 PARAGON AVENUE SOUTH WEST ROCKS 2431","153.04088639","-30.885854146","25","PARAGON","AVENUE","SOUTH WEST ROCKS","2431","New South Wales",NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094","PAN-26566",142346008,413,NA,"Under Assessment","Development Application","Unknown","Cumberland Council","Demolition-Residential flat building-Shop top housing-Mixed use development-Centre based childcare-Hotel or motel accommodation-Retail premises ","246 WOODVILLE ROAD MERRYLANDS 2160","150.99729728","-33.846658145","246","WOODVILLE","ROAD","MERRYLANDS","2160","New South Wales",NA,NA,NA,"Y","Y","N",NA,"2020-08-31",NA,"2020-10-14T00:00:00","2020-09-16T00:00:00","N",NA,NA
"1095","PAN-313494",19306686,44,4,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Residential flat building","1 BLUEGUM CRESCENT FRENCHS FOREST 2086","151.229341883","-33.748871688","1","BLUEGUM","CRESCENT","FRENCHS FOREST","2086","New South Wales",NA,NA,NA,"N","N","N",NA,"2023-03-27","2023-11-22","2023-04-17T00:00:00","2023-04-03T00:00:00","N","Y",NA
"1096","PAN-361953",109311400,407,24,"Pending Court Appeal","Development Application","Unknown","Liverpool City Council","Residential flat building","31 Shepherd Street, Liverpool 2170    6/DP247485","150.92142888","-33.933866071","31","SHEPHERD","STREET","LIVERPOOL","2170","New South Wales",NA,NA,2,"N","Y","Y",3,"2023-08-31",NA,"2023-10-06T00:00:00","2023-09-18T00:00:00","Y",NA,NA
"1097","PAN-189335",17042179,20,3,"Operational consent issued","Development Application","Unknown","Ku-ring-gai Council","Multi-dwelling housing","10 NULLA NULLA STREET TURRAMURRA 2074","151.132220718","-33.731209768","10","NULLA NULLA","STREET","TURRAMURRA","2074","New South Wales",NA,NA,NA,"N","N","N",NA,"2022-02-10","2022-12-08","2022-04-11T00:00:00","2022-03-11T00:00:00","N",NA,NA
"1098","PAN-226294",10072603,30,NA,"Determined","Development Application","Local Planning Panel","Penrith City Council","Residential flat building","115 GLOSSOP STREET ST MARYS 2760","150.780041443","-33.765387166","115","GLOSSOP","STREET","ST MARYS","2760","New South Wales",NA,NA,NA,"N","N","N",NA,"2022-05-27","2023-11-22","2022-07-04T00:00:00","2022-06-20T00:00:00","N",NA,NA
"1099","PAN-164728",5856220,23,3,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Demolition-Residential flat building","27A-29 PINE AVENUE BROOKVALE 2100","151.275647635","-33.758484275","27A","PINE","AVENUE","BROOKVALE","2100","New South Wales","29",NA,NA,"N","N","N",NA,"2021-11-18","2022-05-18","2021-12-17T00:00:00","2021-12-03T00:00:00","N","Y",NA
"1100","PAN-242830",10566850,50,7,"Under Assessment","Development Application","Unknown","Canterbury-Bankstown Council","Mixed use development-Centre based childcare-Retail premises -Co-living housing","159 Priam Street, Chester Hill NSW 2162","151.002617787","-33.882309704",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N",NA,"2022-09-08",NA,"2022-10-11T00:00:00","2022-09-21T00:00:00","N",NA,NA
"1101","PAN-268891",5351174,6,NA,"Withdrawn","Development Application","Unknown","Sutherland Shire Council","Multi-dwelling housing","14 ELOUERA ROAD CRONULLA 2230","151.156804768","-34.041040341","14","ELOUERA","ROAD","CRONULLA","2230","New South Wales","null","null",1,"N","N","Y",6,"2022-10-26",NA,NA,NA,NA,NA,NA
"1102","PAN-342710",10714070,10,3,"Determined","Development Application","Council","Lane Cove Municipal Council","Multi-dwelling housing","7-9 LYNVALE CLOSE LANE COVE NORTH 2066","151.176249263","-33.807199475","7","LYNVALE","CLOSE","LANE COVE NORTH","2066","New South Wales","9",NA,3,"N","Y","N",NA,"2023-06-23","2023-12-06","2023-11-05T00:00:00","2023-10-20T00:00:00","N",NA,NA
"1103","PAN-374015",5754429,17,3,"Determined","Development Application","Council","Nambucca Valley Council","Multi-dwelling housing-Erection of a new structure","FOREST ROAD NAMBUCCA HEADS 2448","153.001832693","-30.6358138",NA,"FOREST","ROAD","NAMBUCCA HEADS","2448","New South Wales",NA,NA,NA,"N","N",NA,NA,"2023-09-26","2023-11-16",NA,NA,"N",NA,NA
"1104","PAN-130075",21939000,156,NA,"Determined","Development Application","Local Planning Panel","Randwick City Council","Demolition-Shop top housing-Boarding house","390 ANZAC PARADE KINGSFORD 2032","151.227142696","-33.920306733","390","ANZAC","PARADE","KINGSFORD","2032","New South Wales",NA,NA,3,"Y","N","N",NA,"2021-08-11","2023-09-14","2021-09-02T00:00:00","2021-08-19T00:00:00","N","Y",NA
"1105","PAN-201708",9799297.2,36,10,"Deferred Commencement","Development Application","Unknown","Wollongong City Council","Residential flat building","17 GLADSTONE AVENUE WOLLONGONG 2500","150.887124123","-34.428517493","17","GLADSTONE","AVENUE","WOLLONGONG","2500","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2022-03-30","2023-10-27","2022-04-20T00:00:00","2022-04-06T00:00:00","N","Y",NA
"1106","PAN-241751",7410040,21,3,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Demolition-Residential flat building","20-26 AVON ROAD DEE WHY 2099","151.292289771","-33.751396233","20","AVON","ROAD","DEE WHY","2099","New South Wales","26",NA,4,"N","Y","N",NA,"2022-08-17","2023-04-19","2022-09-30T00:00:00","2022-09-02T00:00:00","N","Y",NA
"1107","PAN-251520",14048100,39,NA,"Determined","Development Application","Unknown","Georges River Council","Residential flat building","202 PRINCES HIGHWAY KOGARAH BAY 2217","151.123747512","-33.978048092","202","PRINCES","HIGHWAY","KOGARAH BAY","2217","New South Wales",NA,NA,NA,"N","Y","N",NA,"2022-08-09","2023-11-24","2023-02-16T00:00:00","2023-02-02T00:00:00","N",NA,NA
"1108","PAN-277458",7977549,11,4,"Determined","Development Application","Unknown","North Sydney Council","Residential flat building","55 YEO STREET CREMORNE 2090","151.223048275","-33.832679716","55","YEO","STREET","CREMORNE","2090","New South Wales",NA,NA,2,"N","N","Y",11,"2022-11-03","2023-11-08","2022-12-02T00:00:00","2022-11-18T00:00:00","N","Y",NA
"1109","PAN-290782",63300000,0,NA,"Determined","Development Application","Sydney / Regional Planning Panel","The Hills Shire Council","Signage-Subdivision of land-Stormwater management systems-Mixed use development-Earthworks / change in levels-Centre based childcare-Retaining walls, protection of trees-Garages, carports and car parking spaces-Entertainment facility-Food and drink premises-Pub-Business premises-Retail premises ","RED GABLES ROAD GABLES 2765","150.910068978","-33.623086691","null","RED GABLES","ROAD","GABLES","2765","New South Wales","null","null",2,"N","N","Y",4,"2023-01-16","2023-12-01","2023-02-27T00:00:00","2023-01-30T00:00:00","N",NA,NA
"1110","PAN-87307",10636906,56,NA,"Determined","Development Application","Council","Shoalhaven City Council","Residential flat building","2/DP1065105 & 28/DP17310 Old Southern Rd Sth Nowra","150.608906635942","-34.9128024592353",NA,"OLD SOUTHERN","ROAD","SOUTH NOWRA","2541","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-04-21","2023-12-04","2021-09-06T00:00:00","2021-08-23T00:00:00","N",NA,NA
"1111","PAN-238798",20392249,87,NA,"Withdrawn","Development Application","Unknown","Liverpool City Council","Residential flat building","75-79 TENTH AVENUE AUSTRAL 2179","150.814450483","-33.932663728","75","TENTH","AVENUE","AUSTRAL","2179","New South Wales","79",NA,NA,"N","Y",NA,NA,"2022-07-04",NA,NA,NA,"N",NA,NA
"1112","PAN-249410",5388746,6,NA,"Determined","Development Application","Land and Environment Court","Sutherland Shire Council","Multi-dwelling housing","15 KIRKWOOD ROAD CRONULLA 2230","151.157233678","-34.041236128","15","KIRKWOOD","ROAD","CRONULLA","2230","New South Wales",NA,NA,NA,"N","N","N",NA,"2022-08-04","2023-12-08","2023-03-24T00:00:00","2023-03-09T00:00:00","N",NA,NA
"1113","PAN-265809",12545219,39,NA,"Determined","Development Application","Local Planning Panel","Cumberland Council","Shop top housing","30 QUEEN STREET AUBURN 2144","151.03437584","-33.853964736","30","QUEEN","STREET","AUBURN","2144","New South Wales",NA,NA,NA,"N","N","N",NA,"2022-11-14","2023-12-07","2022-12-08T00:00:00","2022-11-24T00:00:00","N",NA,NA
"1114","PAN-395881",1200000000,1,1,"Withdrawn","Development Application","Unknown","Queanbeyan-Palerang Regional Council","Dwelling house-Erection of a new structure-Residential Accommodation","212 MONARO STATION ROAD ROYALLA 2620","149.157083354","-35.468880914","212","MONARO STATION","ROAD","ROYALLA","2620","New South Wales",NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1115","PAN-396397",21175000,42,NA,"Cancelled","Development Application","Unknown","Ku-ring-gai Council","Residential flat building-Erection of a new structure","3/1226294, 1/960014, 1/960015, 1/935936, 1/318518","151.133768263","-33.090211255",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1116","PAN-134591",7639835,27,NA,"Determined","Development Application","Land and Environment Court","Canterbury-Bankstown Council","Demolition-Residential flat building","15 NICHOLAS AVENUE CAMPSIE 2194","151.104470546","-33.919680361","15","NICHOLAS","AVENUE","CAMPSIE","2194","New South Wales",NA,NA,NA,"N","N","N",NA,"2021-09-02","2022-04-08","2021-10-05T00:00:00","2021-09-15T00:00:00","N",NA,NA
"1117","PAN-283064",7700000,8,1,"Determined","Development Application","Council","Dubbo Regional Council","Dwelling-Farm buildings","21 GLADSTONE ROAD BODANGORA 2820","148.982801876","-32.466772135","21","GLADSTONE","ROAD","BODANGORA","2820","New South Wales",NA,NA,1,"N","N","N",NA,"2022-12-16","2023-05-25","2023-01-29T00:00:00","2022-12-21T00:00:00","N",NA,NA
"1118","PAN-293826",5545062,1,3,"Determined","Development Application","Local Planning Panel","Sutherland Shire Council","Dwelling-Demolition","30 RUTHERFORD AVENUE BURRANEER 2230","151.139419056","-34.073366365","30","RUTHERFORD","AVENUE","BURRANEER","2230","New South Wales",NA,NA,1,"N","Y","N",NA,"2023-02-13","2023-11-07","2023-03-01T00:00:00","2023-02-13T00:00:00","N","Y",NA
"1119","PAN-373297",15427850,35,4,"Under Assessment","Development Application","Unknown","Shoalhaven City Council","Demolition-Residential flat building","56 HAWKE STREET HUSKISSON 2540","150.671979397","-35.043462921","56","HAWKE","STREET","HUSKISSON","2540","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2023-09-29",NA,NA,NA,"N",NA,NA
"1120","PAN-148483",8185000,13,5,"Determined","Development Application","Local Planning Panel","Wollongong City Council","Residential flat building","30 BOURKE STREET NORTH WOLLONGONG 2500","150.897227346","-34.414326038","30","BOURKE","STREET","NORTH WOLLONGONG","2500","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-11-10","2022-07-19","2021-12-03T00:00:00","2021-11-19T00:00:00","N","N",NA
"1121","PAN-294986",8470000,10,NA,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Demolition-Residential flat building-Other","22 RAGLAN STREET MANLY 2095","151.285574831","-33.79538705","22","RAGLAN","STREET","MANLY","2095","New South Wales",NA,NA,NA,"N","Y","N",NA,"2023-01-25","2023-12-06","2023-03-03T00:00:00","2023-02-03T00:00:00","N","N",NA
"1122","PAN-313857",10797600,0,0,"Operational consent issued","Development Application","Sydney / Regional Planning Panel","The Council of the Shire of Hornsby","Demolition-Educational establishment -Earthworks / change in levels-Retaining walls, protection of trees","79-81 COBAH ROAD FIDDLETOWN 2159","151.053046602","-33.603353623","79","COBAH","ROAD","FIDDLETOWN","2159","New South Wales","81",NA,1,"N","N","N",NA,"2023-03-17","2023-07-14","2023-04-13T00:00:00","2023-03-23T00:00:00","N",NA,NA
"1123","PAN-352658",17377660,22,NA,"Determined","Development Application","Council","Council of the City of Sydney","Hostel","348-354 ELIZABETH STREET SURRY HILLS 2010","151.208476483","-33.884796003","348","ELIZABETH","STREET","SURRY HILLS","2010","New South Wales","354",NA,NA,NA,NA,"N",NA,"2023-08-01","2023-12-07","2023-08-21T00:00:00","2023-08-07T00:00:00","N",NA,NA
"1124","PAN-162846",25768288,34,NA,"Determined","Development Application","Council","Lake Macquarie City Council","Demolition-Residential flat building-Mixed use development-Earthworks / change in levels","1 WALTER STREET BELMONT 2280","151.657996551","-33.036216076","1","WALTER","STREET","BELMONT","2280","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2021-12-08","2022-12-12",NA,NA,"N","Y",NA
"1125","PAN-258115",5238151,2,NA,"Determined","Development Application","Council","Bega Valley Shire Council","Shop top housing-Retail premises ","59 PRINCES HIGHWAY COBARGO 2550","149.887750954","-36.388275747","59","PRINCES","HIGHWAY","COBARGO","2550","New South Wales",NA,NA,NA,"N","Y","N",NA,"2022-10-20","2023-08-23","2022-11-25T00:00:00","2022-11-11T00:00:00","N","Y",NA
"1126","PAN-265811",206677063,494,NA,"Determined","Development Application","Sydney / Regional Planning Panel","City of Parramatta Council","Stratum / community title subdivision-Mixed use development","Lot 200 in DP1265603","146.974234459","-29.971892932",NA,NA,NA,NA,NA,NA,NA,NA,1,"N","Y","Y",5,"2022-09-28","2023-12-13","2022-11-08T00:00:00","2022-10-18T00:00:00","N","Y",NA
"1127","PAN-344063",14700000,20,3,"Determined","Development Application","Council","Byron Shire Council","Demolition-Multi-dwelling housing","310 EWINGSDALE ROAD BYRON BAY 2481","153.582806204","-28.63843754","310","EWINGSDALE","ROAD","BYRON BAY","2481","New South Wales",NA,NA,1,"N","Y","N",NA,"2023-07-11","2023-12-07","2023-08-09T00:00:00","2023-07-20T00:00:00","N","N",NA
"1128","PAN-130498",5169708,1,3,"Determined","Development Application","Local Planning Panel","Lane Cove Municipal Council","Dwelling-Demolition","60 CLIFF ROAD NORTHWOOD 2066","151.180563452","-33.829742803","60","CLIFF","ROAD","NORTHWOOD","2066","New South Wales",NA,NA,1,"N","Y","N",NA,"2021-08-13","2021-10-21","2021-08-29T00:00:00","2021-08-13T00:00:00","N","N",NA
"1129","PAN-57704",16233472.2,30,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Lane Cove Municipal Council","Residential flat building-Subdivision of land","20 MINDARIE STREET LANE COVE NORTH 2066","151.155797257","-33.80564194","20","MINDARIE","STREET","LANE COVE NORTH","2066","New South Wales",NA,NA,3,"N","Y","Y",30,"2020-12-22","2021-04-21","2021-02-01T00:00:00","2021-01-06T00:00:00","N","Y",NA
"1130","PAN-329035",89724182,177,7,"Determined","Development Application","Sydney / Regional Planning Panel","Camden Council","Residential flat building","62 CENTRAL AVENUE ORAN PARK 2570","150.744697067","-34.000720297","62","CENTRAL","AVENUE","ORAN PARK","2570","New South Wales",NA,NA,1,"N","Y","N",NA,"2023-05-16","2023-12-13","2023-06-28T00:00:00","2023-06-01T00:00:00","Y","Y",NA
"1131","PAN-348746",8816913,5,6,"Under Assessment","Development Application","Unknown","Council of the City of Sydney","Residential flat building","1 13A WYLDE STREET POTTS POINT 2011","151.224355647","-33.866904966","13A","WYLDE","STREET","POTTS POINT","2011","New South Wales",NA,NA,2,"N","Y","Y",5,"2023-08-08",NA,"2023-09-20T00:00:00","2023-08-23T00:00:00","N",NA,NA
"1132","PAN-268889",6581266,1,NA,"Determined","Development Application","Council","Northern Beaches Council","Alterations and additions to residential development","995 BARRENJOEY ROAD PALM BEACH 2108","151.321046321","-33.605406758","995","BARRENJOEY","ROAD","PALM BEACH","2108","New South Wales",NA,NA,NA,"N","N",NA,NA,"2022-10-14","2023-05-03","2022-11-04T00:00:00","2022-10-21T00:00:00","N","Y",NA
"1133","PAN-346625",105710000,534,NA,"Withdrawn","Development Application","Unknown","Newcastle City Council","Demolition-Mixed use development-Retail premises -Co-living housing","5 DENISON STREET NEWCASTLE WEST 2302","151.757508927","-32.924988293","5","DENISON","STREET","NEWCASTLE WEST","2302","New South Wales",NA,NA,NA,NA,"Y",NA,NA,"2023-07-14",NA,"2023-08-07T00:00:00","2023-07-24T00:00:00","N",NA,NA
"1134","PAN-395014",13200000,12,6,"Rejected","Development Application","Unknown","Kempsey Shire Council","Shop top housing-Erection of a new structure-Residential Accommodation","25 PARAGON AVENUE SOUTH WEST ROCKS 2431","153.04088639","-30.885854146","25","PARAGON","AVENUE","SOUTH WEST ROCKS","2431","New South Wales",NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1135","PAN-130179",8729443,16,3,"Determined","Development Application","Land and Environment Court","North Sydney Council","Demolition-Residential flat building","115 HOLT AVENUE CREMORNE 2090","151.229323296","-33.830536957","115","HOLT","AVENUE","CREMORNE","2090","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-08-09","2023-12-05","2021-09-03T00:00:00","2021-08-20T00:00:00","N","Y",NA
"1136","PAN-235137",11322675,24,NA,"Determined","Development Application","Council","Bayside Council","Residential flat building","6 WICKHAM STREET ARNCLIFFE 2205","151.148648261","-33.939008573","6","WICKHAM","STREET","ARNCLIFFE","2205","New South Wales",NA,NA,NA,"N","N","N",NA,"2022-08-22","2023-12-12","2022-09-14T00:00:00","2022-08-31T00:00:00","N","N",NA
"1137","PAN-242608",11557274,27,4,"Determined","Development Application","Council staff under delegated authority","Eurobodalla Shire Council","Residential flat building","1A BENT STREET BATEMANS BAY 2536","150.176658197","-35.709109437","1A","BENT","STREET","BATEMANS BAY","2536","New South Wales",NA,NA,NA,"N","Y","N",NA,"2022-08-11","2023-10-17","2022-08-31T00:00:00","2022-08-15T00:00:00","N",NA,NA
"1138","PAN-43173",8368105.74,37,NA,"Operational consent requested","Development Application","Council","Blacktown City Council","Multi-dwelling housing-Subdivision of land","12 CLARKE STREET RIVERSTONE 2765","150.884151942","-33.675531284","12","CLARKE","STREET","RIVERSTONE","2765","New South Wales",NA,NA,1,"N","N","Y",31,"2020-11-06","2023-06-29","2021-01-20T00:00:00","2020-12-10T00:00:00","Y",NA,NA
"1139","PAN-101292",31857995,91,8,"Determined","Development Application","Unknown","Bayside Council","Residential flat building","24 MARSH STREET ARNCLIFFE 2205","151.155435688","-33.935745889","24","MARSH","STREET","ARNCLIFFE","2205","New South Wales",NA,NA,7,"N","Y","N",NA,"2021-05-28","2022-12-21","2021-07-12T00:00:00","2021-06-09T00:00:00","Y",NA,NA
"1140","PAN-224399",6831000,12,4,"Determined","Development Application","Council","Mosman Municipal Council","Shop top housing","566-570 Military rd, Mosman","151.236763662","-33.824119885",NA,NA,NA,NA,NA,NA,NA,NA,3,"N","Y","Y",13,"2022-06-02","2023-06-21","2022-06-23T00:00:00","2022-06-08T00:00:00","N",NA,NA
"1141","PAN-285070",9392577,20,3,"Determined","Development Application","Council","The Council of the Shire of Hornsby","Demolition-Multi-dwelling housing-Stratum / community title subdivision","91 JERSEY STREET NORTH HORNSBY 2077","151.100060548","-33.69545757","91","JERSEY","STREET","HORNSBY","2077","New South Wales",NA,"NORTH",2,"N","N","Y",20,"2022-12-08","2023-12-20","2023-01-11T00:00:00","2022-12-13T00:00:00","N",NA,NA
"1142","PAN-293042",8278935,15,NA,"Determined","Development Application","Council","Blacktown City Council","Dwelling-Attached dwelling-Semi-attached dwelling-Stratum / community title subdivision-Earthworks / change in levels-Retaining walls, protection of trees","WATKIN CRESCENT MARSDEN PARK 2765","150.819924687","-33.696893427",NA,"WATKIN","CRESCENT","MARSDEN PARK","2765","New South Wales",NA,NA,1,"N","N","Y",14,"2023-01-19","2023-10-12",NA,NA,"Y",NA,NA
"1143","PAN-293042",8278935,15,NA,"Determined","Development Application","Council","Blacktown City Council","Dwelling-Attached dwelling-Semi-attached dwelling-Stratum / community title subdivision-Earthworks / change in levels-Retaining walls, protection of trees","WATKIN CRESCENT MARSDEN PARK 2765","150.819924687","-33.696893427",NA,"WATKIN","CRESCENT","MARSDEN PARK","2765","New South Wales",NA,NA,1,"N","N","Y",14,"2023-01-19","2023-10-12",NA,NA,"Y",NA,NA
"1144","PAN-304346",10372010.59,31,6,"Determined","Development Application","Local Planning Panel","The Hills Shire Council","Demolition-Residential flat building-Business premises","12-14 HILL STREET BAULKHAM HILLS 2153","150.993197878","-33.757424481","12","HILL","STREET","BAULKHAM HILLS","2153","New South Wales","14",NA,1,"N","N","N",NA,"2023-03-29","2023-12-13","2023-04-21T00:00:00","2023-03-31T00:00:00","N","Y",NA
"1145","PAN-317305",8723205,1,4,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Dwelling-Pools / decks / fencing-Demolition-Earthworks / change in levels-Garages, carports and car parking spaces","12-14 ROCK BATH ROAD PALM BEACH 2108","151.329005085","-33.600278167","12","ROCK BATH","ROAD","PALM BEACH","2108","New South Wales","14",NA,2,"N","Y","N",NA,"2023-03-30","2023-12-13","2023-04-21T00:00:00","2023-04-07T00:00:00","N","N",NA
